iter	Passed	Remaining
901	10498	1140
902	10509	1128
903	10519	1117
904	10531	1105
905	10542	1093
906	10553	1082
907	10564	1070
908	10575	1058
909	10586	1046
910	10596	1035
911	10607	1023
912	10618	1011
913	10628	1000
914	10639	988
915	10650	976
916	10660	964
917	10672	953
918	10683	941
919	10695	930
920	10706	918
921	10717	906
922	10728	895
923	10740	883
924	10751	871
925	10762	860
926	10772	848
927	10784	836
928	10796	825
929	10807	813
930	10818	801
931	10841	791
932	10853	779
933	10864	767
934	10875	756
935	10887	744
936	10897	732
937	10908	721
938	10919	709
939	10930	697
940	10941	686
941	10952	674
942	10963	662
943	10974	651
944	10985	639
945	10995	627
946	11007	616
947	11018	604
948	11028	592
949	11039	581
950	11050	569
951	11061	557
952	11072	546
953	11084	534
954	11095	522
955	11105	511
956	11116	499
957	11127	487
958	11139	476
959	11150	464
960	11161	452
961	11172	441
962	11183	429
963	11194	418
964	11205	406
965	11217	394
966	11237	383
967	11249	371
968	11261	360
969	11272	348
970	11283	337
971	11293	325
972	11304	313
973	11316	302
974	11326	290
975	11351	279
976	11361	267
977	11371	255
978	11382	244
979	11393	232
980	11403	220
981	11414	209
982	11423	197
983	11434	185
984	11445	174
985	11456	162
986	11468	151
987	11480	139
988	11491	127
989	11502	116
990	11513	104
991	11523	92
992	11545	81
993	11555	69
994	11566	58
995	11576	46
996	11586	34
997	11597	23
998	11607	11
999	11618	0
