iter	RMSE
0	0.01340901587
1	0.01332847133
2	0.01324515899
3	0.01313017094
4	0.01304793061
5	0.01296810879
6	0.01288612356
7	0.01278553848
8	0.01270365781
9	0.01261690769
10	0.01255833592
11	0.01247413449
12	0.01238697396
13	0.01227561246
14	0.01216078487
15	0.01205937689
16	0.01198423852
17	0.01189536882
18	0.0117981826
19	0.01172567034
20	0.01166015789
21	0.01159648281
22	0.01150892453
23	0.01142974787
24	0.0113433503
25	0.0112611229
26	0.01117606774
27	0.01108748655
28	0.01101367131
29	0.01094468618
30	0.0108961084
31	0.01083248221
32	0.01073112351
33	0.01063328159
34	0.01053592965
35	0.01048712985
36	0.01043448433
37	0.01033982815
38	0.01025696467
39	0.01015660845
40	0.01009573587
41	0.01005537928
42	0.009977574567
43	0.009933316414
44	0.009857642343
45	0.009788938567
46	0.009736169774
47	0.00966762917
48	0.009613897447
49	0.009569427129
50	0.009501540202
51	0.00940738598
52	0.009341963881
53	0.00929455547
54	0.009237752683
55	0.009189123446
56	0.009136247921
57	0.009077394745
58	0.009028292544
59	0.008951976206
60	0.008897355557
61	0.008856256612
62	0.008776827357
63	0.008724245755
64	0.008658810558
65	0.00861231891
66	0.008572002092
67	0.008512122764
68	0.008474417545
69	0.008419217394
70	0.008378687906
71	0.00832755285
72	0.008269045727
73	0.008205778327
74	0.008137997515
75	0.008091313285
76	0.008050848943
77	0.0080031876
78	0.007955919276
79	0.007900300904
80	0.007854310054
81	0.007792091342
82	0.007758071653
83	0.007723719055
84	0.007657535618
85	0.007598748009
86	0.007510752666
87	0.00746369428
88	0.007411797319
89	0.007355541279
90	0.007310941102
91	0.007256689338
92	0.00720482642
93	0.00715425656
94	0.007102709097
95	0.007067156036
96	0.007018565016
97	0.006967888211
98	0.006941236744
99	0.006898673834
100	0.006846067921
101	0.006802867663
102	0.006756348117
103	0.006735624483
104	0.006706154404
105	0.006690268738
106	0.006646862985
107	0.006619867249
108	0.0065673321
109	0.006502139149
110	0.006461417393
111	0.006428768243
112	0.006382153576
113	0.006345317483
114	0.006325629981
115	0.006278410533
116	0.006248622769
117	0.006207499417
118	0.006168730823
119	0.006123560077
120	0.006096639679
121	0.006067582943
122	0.00601771465
123	0.005971509813
124	0.005916228171
125	0.005864606756
126	0.005824095104
127	0.005782459752
128	0.005743361314
129	0.005721503089
130	0.005673543391
131	0.005629291933
132	0.005594154122
133	0.005573547008
134	0.00552937234
135	0.005493705248
136	0.005466098217
137	0.005431916522
138	0.005386100325
139	0.005352162293
